-0.98467,1.4489,0.48883,0.45558,-0.5324,-0.18739,1.1007,-0.040356,-0.89991,-0.40998,1.2956,1.1163,0.55782,1.8078,0.64431,0.73455,0.19181,-1.3132,0.27377,-0.95097,0.13413,-0.62093,0.74685,-0.79372,-0.91695,0.073907,-0.60065,-1.8418,-0.88129,-1.4549,-1.1417
2.2091,2.5428,-2.3069,-0.082175,1.6642,1.1702,-0.43956,1.3034,-1.2349,0.96759,-0.71559,0.38575,1.3438,-0.29344,0.34688,-1.1166,-1.5794,-0.55738,-1.1861,-1.5398,0.37936,-0.9255,1.4457,-3.3713,0.061145,-0.05907,-0.86095,-0.71302,0.54574,0.16558,2.1203
-1.217,0.78128,0.0045189,2.1794,1.9136,-1.0985,-0.86277,1.3878,-0.63392,-0.47896,1.6035,0.11622,-0.67301,0.31863,0.29898,1.6274,-0.92182,0.23367,-0.55422,0.40681,-0.54137,0.012062,0.64351,0.086038,-0.35247,1.1409,-0.1858,-1.1651,-0.15057,0.60844,2.4261
-0.62344,1.1003,1.3373,1.1978,0.95262,-0.51538,-0.029889,-0.98018,0.17718,-0.56105,-0.65918,-0.95808,-1.2771,-0.29018,-0.42613,1.7794,-0.90781,1.37,-0.20818,0.061525,-1.1228,-0.25616,-1.299,0.18369,-0.60282,0.29568,0.7768,0.5764,-1.1271,0.0656,-4.6862
0.88222,-1.2914,1.2819,-1.3355,0.59946,1.2992,0.51769,-0.0012465,-1.0404,-0.095114,0.56438,1.0533,-0.36528,0.96584,-0.24772,0.34161,0.40592,-1.0086,-2.0922,-0.93696,0.57657,-1.5735,-0.77261,0.57306,0.65857,0.78252,-0.3566,-1.0387,1.1432,-1.4669,-4.2139
-0.87169,-1.3871,-0.17731,0.48027,0.74733,-0.37981,-0.69139,-0.51585,1.7235,-2.1055,-0.73615,-0.92554,-1.2655,0.39916,-0.97195,-1.2566,0.43318,-0.018403,0.39391,1.033,1.3662,0.66401,-0.10092,-0.61453,-1.2587,2.0497,-0.49875,0.95258,0.9311,-0.53229,1.3867
0.87039,-0.096865,-1.1007,1.3387,-0.26068,-1.83,-0.15675,-1.1631,-0.80944,0.67446,-2.1566,-1.0392,-0.93395,0.90553,-0.57776,-0.42434,-0.83374,0.40881,-0.12715,-0.60634,1.2587,-1.1069,-0.04446,0.60478,0.72138,-0.53922,-0.877,-0.63794,-0.10838,-0.24507,-1.68
-1.5249,-0.049117,-0.16935,0.82922,-1.4978,1.0903,-1.0753,0.58795,1.0698,-0.32652,-0.027186,-2.3063,-1.3087,-0.33963,1.2184,0.55786,-0.11449,-0.55882,-0.025193,0.74944,0.46337,0.87068,-0.60792,0.0019376,-0.20366,1.3947,0.27328,1.0915,0.263,-1.3362,0.91133
0.58616,0.48712,1.6187,-0.21853,0.55829,0.50918,-1.3273,0.94113,-1.3204,-0.30139,0.076636,0.053636,-0.64016,0.0037542,0.60927,-1.8953,-0.5986,-0.17417,1.1128,-2.3368,-0.7065,0.38468,-1.6774,-0.26338,-1.2093,0.56416,0.92526,-0.91671,-1.2238,-2.2861,-3.0714
0.9264,-1.2046,-0.24165,-0.41329,2.9723,-0.24361,-0.46528,0.45504,0.28411,0.82918,0.75468,-1.0413,0.49932,0.90844,-0.3163,0.36909,-0.089772,-0.64762,-0.34779,-0.44183,0.55474,-0.31768,-0.53847,-1.2403,0.5819,-1.0171,1.1306,1.3151,-0.47905,-0.13377,1.8929
-0.093998,0.13687,1.1684,0.67147,0.72947,-0.71251,-1.1136,-0.14825,-1.5026,-1.2015,0.91958,-0.22105,0.69274,0.43972,0.29015,0.64143,-0.71458,1.392,-0.27141,0.90997,2.9417,0.7293,1.7257,-1.7908,-0.64233,1.6369,-2.4514,0.43779,-1.1146,-1.4404,1.4296
